Timestamp,isBaruchStudent,studentGender,studentYear,studentStatus,studentOpinion,studentJoin
5/9/18 15:40,Yes,Non-binary/third gender,Sophomore,Full-time student (12 or more credits),Yes,No
5/9/18 15:40,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/9/18 15:42,Yes,Male,Sophomore,Full-time student (12 or more credits),Yes,No
5/9/18 15:42,Yes,Female,Junior,Part-time student (Less than 12 credits),Yes,Yes
5/9/18 15:43,Yes,Female,Junior,Full-time student (12 or more credits),No,Yes
5/9/18 15:44,Yes,Male,Freshman,Full-time student (12 or more credits),No,Yes
5/9/18 15:45,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/9/18 15:49,Yes,Female,Senior,Full-time student (12 or more credits),Yes,No
5/9/18 15:53,Yes,Male,Junior,Full-time student (12 or more credits),No,No
5/9/18 15:56,Yes,Male,Senior,Full-time student (12 or more credits),No,No
5/9/18 15:57,Yes,Male,Junior,Full-time student (12 or more credits),No,Yes
5/9/18 16:05,Yes,Male,Senior,Full-time student (12 or more credits),No,Yes
5/9/18 16:07,Yes,Male,Sophomore,Full-time student (12 or more credits),No,Yes
5/9/18 16:09,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/9/18 16:39,Yes,Male,Senior,Full-time student (12 or more credits),Yes,No
5/9/18 16:45,Yes,Female,Senior,Full-time student (12 or more credits),Yes,No
5/9/18 16:48,Yes,Male,Junior,Full-time student (12 or more credits),No,No
5/9/18 17:02,Yes,Female,Senior,Full-time student (12 or more credits),Yes,No
5/9/18 17:19,Yes,Male,Sophomore,Full-time student (12 or more credits),No,No
5/9/18 17:21,Yes,Female,Sophomore,Full-time student (12 or more credits),Yes,No
5/9/18 17:25,Yes,Male,Sophomore,Full-time student (12 or more credits),Yes,No
5/9/18 17:30,Yes,Male,Sophomore,Full-time student (12 or more credits),Yes,No
5/9/18 18:09,Yes,Male,Sophomore,Full-time student (12 or more credits),Yes,Yes
5/9/18 18:54,Yes,Male,Junior,Full-time student (12 or more credits),No,No
5/9/18 18:54,Yes,Male,Freshman,Full-time student (12 or more credits),No,No
5/9/18 19:30,Yes,Male,Junior,Full-time student (12 or more credits),No,No
5/9/18 19:33,Yes,Female,Sophomore,Full-time student (12 or more credits),No,No
5/9/18 19:33,Yes,Male,Senior,Part-time student (Less than 12 credits),Yes,No
5/9/18 19:42,Yes,Female,Freshman,Full-time student (12 or more credits),Yes,No
5/9/18 19:50,Yes,Female,Junior,Full-time student (12 or more credits),Yes,No
5/9/18 19:51,Yes,Male,Junior,Full-time student (12 or more credits),No,Yes
5/9/18 19:52,Yes,Female,Junior,Full-time student (12 or more credits),Yes,No
5/9/18 19:53,Yes,Male,Junior,Full-time student (12 or more credits),No,No
5/9/18 19:53,Yes,Male,Junior,Full-time student (12 or more credits),No,No
5/9/18 19:54,Yes,Male,Junior,Full-time student (12 or more credits),No,No
5/9/18 19:57,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/9/18 19:58,Yes,Male,Junior,Part-time student (Less than 12 credits),No,Yes
5/9/18 20:07,Yes,Male,Junior,Full-time student (12 or more credits),Yes,No
5/9/18 20:08,Yes,Male,Freshman,Full-time student (12 or more credits),Yes,No
5/9/18 20:17,Yes,Male,Sophomore,Full-time student (12 or more credits),Yes,No
5/9/18 20:25,Yes,Male,Freshman,Full-time student (12 or more credits),No,No
5/9/18 20:43,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/9/18 21:09,Yes,Male,Junior,Full-time student (12 or more credits),Yes,No
5/9/18 21:55,Yes,Male,Sophomore,Full-time student (12 or more credits),Yes,No
5/9/18 22:02,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/9/18 22:11,Yes,Female,Sophomore,Full-time student (12 or more credits),No,No
5/9/18 22:40,Yes,Female,Sophomore,Full-time student (12 or more credits),No,No
5/9/18 23:44,Yes,Male,Senior,Full-time student (12 or more credits),No,Yes
5/10/18 0:12,Yes,Female,Freshman,Full-time student (12 or more credits),Yes,Yes
5/10/18 0:16,Yes,Male,Senior,Full-time student (12 or more credits),No,No
5/10/18 0:27,Yes,Female,Junior,Full-time student (12 or more credits),No,Yes
5/10/18 0:27,Yes,Male,Freshman,Full-time student (12 or more credits),Yes,No
5/10/18 0:35,Yes,Male,Sophomore,Full-time student (12 or more credits),No,Yes
5/10/18 0:36,Yes,Male,Sophomore,Full-time student (12 or more credits),No,Yes
5/10/18 0:38,Yes,Female,Junior,Part-time student (Less than 12 credits),No,No
5/10/18 0:47,Yes,Male,Sophomore,Full-time student (12 or more credits),Yes,No
5/10/18 1:11,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/10/18 1:51,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/10/18 2:14,Yes,Male,Sophomore,Full-time student (12 or more credits),No,No
5/10/18 3:14,Yes,Male,Junior,Full-time student (12 or more credits),No,Yes
5/10/18 6:41,Yes,Female,Junior,Full-time student (12 or more credits),No,Yes
5/10/18 7:39,Yes,Female,Senior,Full-time student (12 or more credits),No,Yes
5/10/18 8:17,Yes,Male,Junior,Part-time student (Less than 12 credits),No,No
5/10/18 8:30,Yes,Female,Sophomore,Full-time student (12 or more credits),No,Yes
5/10/18 13:13,Yes,Male,Senior,Full-time student (12 or more credits),No,Yes
5/10/18 15:39,Yes,Prefer not to say,Senior,Full-time student (12 or more credits),Yes,No
5/10/18 23:03,Yes,Female,Senior,Full-time student (12 or more credits),Yes,No
5/11/18 8:01,Yes,Male,Junior,Full-time student (12 or more credits),No,Yes
5/11/18 9:14,Yes,Female,Junior,Full-time student (12 or more credits),No,No